supplier_reliability,demand_level,transport_delay,weather_impact,inventory_level,risk_score,risk_level
79.58,58.57,0.23,3.66,88.42,30.14,0
75.14,45.91,5.0,4.91,46.87,43.11,1
75.8,63.54,2.34,1.03,94.64,23.89,0
60.13,47.81,11.91,3.47,70.67,45.42,1
96.02,50.27,0.18,0.58,69.48,24.3,0
57.1,55.03,0.2,0.3,45.64,36.43,0
86.07,68.54,14.91,0.76,49.72,65.3,2
66.41,36.49,16.74,0.84,59.15,48.35,2
72.57,40.26,0.14,1.01,20.69,44.28,1
87.87,36.62,6.29,0.93,50.26,42.38,1
92.58,43.36,1.25,1.06,60.09,31.96,0
54.81,78.52,6.04,2.48,86.19,52.38,2
77.27,61.45,10.15,0.56,47.67,47.6,2
77.18,27.38,0.53,0.04,76.24,25.71,0
52.11,37.99,1.36,1.35,18.79,41.56,1
81.61,57.46,0.12,1.19,83.34,27.72,0
56.43,31.87,0.22,0.12,41.99,33.07,0
69.55,35.49,0.15,0.29,62.61,21.97,0
70.33,76.9,8.06,1.43,68.13,51.55,2
72.04,37.73,1.77,0.54,64.2,32.68,0
61.85,69.09,3.4,4.2,57.86,48.09,2
85.06,75.11,7.75,0.38,35.17,51.11,2
49.88,35.33,3.42,0.04,42.21,29.51,0
78.76,32.2,2.8,1.19,79.93,20.36,0
65.96,44.48,0.06,8.56,48.05,50.92,2
74.0,28.23,4.2,2.01,57.93,36.38,0
76.52,52.42,0.67,0.87,30.16,41.65,1
59.98,45.89,7.23,0.03,77.17,39.39,1
72.13,57.21,1.49,1.33,33.61,44.33,1
72.47,77.94,5.61,0.46,78.32,40.84,1
65.37,66.35,5.2,2.09,38.75,54.26,2
65.84,59.78,4.79,1.75,80.29,42.46,1
76.94,10.68,1.55,0.62,60.2,18.87,0
49.92,58.87,1.55,0.14,48.82,40.88,1
39.67,84.45,9.94,2.81,92.01,65.76,2
67.13,0.0,0.06,1.76,58.62,31.7,0
72.8,63.79,1.0,3.69,52.76,50.32,2
95.1,46.81,4.71,0.6,78.18,20.46,0
73.23,33.0,8.49,2.12,30.39,42.61,1
53.91,66.02,2.22,0.25,9.46,49.72,2
39.19,84.19,5.3,0.69,83.16,52.83,2
71.17,65.5,4.07,2.14,43.27,48.06,2
92.63,42.58,0.33,3.49,77.29,32.83,0
50.87,31.13,4.86,0.77,60.92,46.04,1
64.47,52.89,8.41,3.21,36.72,57.2,2
73.89,67.46,24.43,2.26,72.15,71.44,2
62.77,42.26,0.15,0.86,51.8,36.33,0
85.5,44.19,5.39,4.18,38.45,51.57,2
80.88,100.0,2.68,1.42,38.97,53.28,2
49.64,71.57,0.05,2.09,25.34,51.07,2
75.8,73.0,4.76,1.37,68.06,39.41,1
82.68,20.79,0.65,1.21,41.29,20.58,0
67.71,35.86,2.38,3.77,59.31,40.74,1
51.99,51.49,1.51,0.7,56.37,43.14,1
88.66,29.98,2.24,0.07,41.17,29.88,0
53.38,82.01,3.39,4.24,29.54,70.02,2
60.27,78.21,2.23,3.49,100.0,50.93,2
78.55,39.33,4.02,0.91,59.03,25.9,0
89.07,85.68,1.36,0.41,96.47,30.5,0
90.82,49.91,5.04,2.25,83.3,33.96,0
61.61,100.0,9.61,0.16,53.58,60.26,2
89.14,52.89,1.27,1.1,63.62,24.27,0
68.38,61.52,3.55,0.18,63.04,45.25,1
70.79,78.0,5.23,1.82,96.88,38.34,1
64.53,75.55,4.16,0.06,76.6,29.62,0
87.92,60.21,2.28,1.98,43.85,38.38,1
38.04,47.18,5.14,2.24,67.03,49.09,2
59.87,60.28,0.14,1.34,76.09,44.74,1
89.17,33.68,2.31,0.38,36.49,31.24,0
78.48,53.04,3.8,0.21,69.88,30.45,0
94.94,27.81,0.1,0.75,86.91,12.14,0
85.83,14.38,3.54,1.25,42.85,26.68,0
64.76,51.01,5.31,2.06,45.61,58.39,2
85.79,75.25,7.12,0.0,83.21,40.49,1
86.9,68.52,0.6,2.48,52.92,30.55,0
52.9,48.36,23.32,2.49,40.36,78.14,2
65.11,84.94,4.66,1.18,77.65,45.98,1
58.84,38.62,2.26,0.84,71.54,27.65,0
90.8,11.64,1.43,3.69,61.89,15.76,0
95.63,6.36,4.25,3.07,82.49,23.44,0
95.35,26.38,10.67,8.18,83.91,43.65,1
54.95,66.33,3.68,0.93,58.34,52.51,2
79.84,37.3,5.42,4.75,99.49,35.51,0
94.49,59.22,2.21,0.18,91.67,19.53,0
63.05,82.93,2.46,1.06,20.31,42.01,1
84.33,28.0,1.69,1.25,39.4,35.59,0
53.71,59.57,6.11,1.16,14.89,59.35,2
76.68,60.78,2.23,1.96,53.51,37.49,0
74.79,32.79,1.06,0.37,35.78,26.67,0
71.72,77.08,2.31,4.03,43.71,60.53,2
80.75,44.25,9.61,1.6,81.81,33.59,0
69.37,42.32,6.7,4.69,24.9,54.73,2
82.69,92.23,2.04,0.01,62.59,41.65,1
78.22,60.46,11.87,1.99,62.47,59.18,2
33.82,68.51,0.39,1.06,58.35,47.47,2
72.41,77.1,0.26,1.41,62.62,35.25,0
85.99,36.99,0.68,2.72,15.35,37.68,0
82.72,75.0,0.62,0.52,43.81,41.91,1
84.38,39.96,0.46,0.46,90.86,23.99,0
82.66,39.11,5.41,2.43,36.06,35.08,0
65.22,44.56,4.59,1.47,93.33,34.05,0
83.56,37.56,5.22,0.53,31.86,29.93,0
70.0,66.44,5.83,1.32,29.46,56.19,2
82.19,55.34,7.07,1.23,40.96,46.78,1
77.79,40.18,1.16,2.35,82.58,23.21,0
86.95,63.49,4.87,0.01,49.08,44.96,1
66.44,44.5,4.34,1.77,66.91,40.41,1
75.43,43.44,14.38,1.86,61.47,53.29,2
66.33,50.97,1.32,2.74,58.91,38.99,1
92.78,59.27,0.3,4.4,85.48,31.3,0
93.12,57.8,5.3,1.16,75.43,30.37,0
56.86,42.74,6.74,0.84,37.14,44.7,1
49.97,66.94,1.66,0.22,54.49,50.03,2
55.56,45.55,4.23,0.82,94.87,31.68,0
30.67,36.9,0.31,0.14,66.39,34.93,0
87.2,20.64,16.1,3.25,29.84,54.65,2
31.2,69.66,0.58,3.29,31.26,68.02,2
53.6,50.25,0.35,1.08,77.8,39.8,1
73.02,54.22,0.23,0.6,74.05,26.7,0
59.06,70.92,2.79,0.25,41.57,52.64,2
67.05,40.45,0.51,3.81,74.95,35.84,0
34.61,22.51,6.83,4.2,91.99,43.37,1
82.99,51.4,11.46,0.62,89.16,36.47,0
67.62,56.16,1.51,1.94,92.09,39.32,1
60.03,44.74,4.95,0.6,71.11,48.3,2
96.44,79.47,0.22,0.51,56.45,32.85,0
59.68,0.28,2.44,0.04,51.95,22.71,0
95.36,72.4,1.73,1.72,59.65,33.84,0
53.94,65.82,1.3,0.32,42.48,40.72,1
48.67,59.14,5.17,0.02,52.81,44.36,1
88.38,0.0,0.7,0.22,85.5,4.41,0
58.4,75.68,9.86,0.75,27.82,62.11,2
81.16,29.47,5.47,2.21,29.19,41.51,1
87.13,39.85,6.2,0.45,76.61,28.19,0
85.78,46.59,13.69,4.37,53.0,55.68,2
62.84,58.15,14.27,0.68,21.49,68.29,2
76.01,62.79,4.01,0.8,58.77,38.02,1
77.84,67.86,3.42,0.49,55.92,37.96,1
33.71,66.32,2.04,0.59,51.38,49.83,2
74.14,55.06,6.29,0.15,73.71,44.31,1
86.05,58.32,3.86,0.7,33.34,37.18,0
88.39,28.18,13.51,3.93,60.26,51.53,2
84.51,34.98,1.36,2.33,55.78,26.37,0
75.18,67.91,1.86,4.16,60.76,47.21,1
86.05,66.74,1.9,0.22,25.36,41.93,1
65.87,64.48,8.2,1.22,49.55,57.21,2
94.13,39.71,0.52,0.52,60.4,19.77,0
86.19,68.21,3.04,2.55,70.82,32.41,0
68.09,26.78,2.79,7.03,96.93,34.72,0
69.19,71.55,0.38,3.38,76.12,45.75,1
74.28,44.78,2.64,0.07,69.22,39.62,1
78.32,83.68,3.6,0.76,85.43,41.82,1
87.23,19.57,0.34,0.06,53.92,12.28,0
94.87,85.27,3.57,0.08,91.08,34.2,0
64.43,42.77,16.0,0.17,82.39,44.58,1
66.68,42.41,19.3,0.65,51.08,59.2,2
58.87,53.9,3.79,0.73,98.48,34.56,0
59.03,36.06,3.62,1.02,68.94,37.28,0
77.13,48.55,1.68,1.04,100.0,24.44,0
65.92,35.25,29.24,2.95,66.06,74.06,2
66.15,35.98,1.6,0.3,48.76,37.86,1
66.95,59.74,3.02,0.34,44.65,38.66,1
63.22,31.97,0.01,1.97,52.89,39.67,1
55.47,34.64,2.15,1.7,48.57,32.97,0
95.75,22.54,0.37,0.33,85.43,12.29,0
62.44,39.92,6.81,3.82,59.42,43.01,1
75.73,76.23,4.12,0.8,27.72,44.8,1
77.21,33.08,4.25,0.91,64.26,28.34,0
74.33,35.37,1.69,1.09,62.51,36.9,0
90.97,53.88,8.43,0.78,50.63,47.19,1
63.48,42.58,0.02,1.63,65.35,37.0,0
52.2,94.56,2.03,0.98,59.12,51.83,2
73.11,46.75,5.39,0.6,72.68,35.74,0
50.07,56.7,11.93,4.7,71.5,70.82,2
56.58,68.88,1.34,0.74,67.3,44.14,1
97.43,68.49,3.89,2.4,34.02,43.01,1
80.9,54.67,3.86,0.85,100.0,34.75,0
59.24,46.78,10.36,1.14,28.88,60.62,2
88.42,90.48,0.26,0.54,57.43,37.56,0
55.15,48.0,2.76,2.79,38.11,46.66,1
84.13,41.17,1.01,2.67,67.93,26.91,0
71.67,37.08,0.11,0.04,62.77,23.81,0
83.52,15.46,0.8,0.12,56.62,21.27,0
84.99,66.43,18.75,5.11,90.36,68.12,2
79.58,3.04,1.21,4.39,82.17,16.03,0
63.85,49.89,13.67,1.41,53.46,46.92,1
56.96,45.9,1.15,1.36,76.08,29.54,0
73.43,94.8,13.39,3.35,91.29,59.83,2
34.84,13.37,5.32,0.3,82.03,41.18,1
71.24,31.98,0.6,2.12,57.28,29.97,0
72.86,47.28,4.36,1.29,28.19,45.37,1
72.54,46.05,1.92,2.72,66.49,38.22,1
69.4,39.01,2.42,0.06,73.37,22.92,0
77.34,48.38,2.9,1.8,44.61,46.11,1
49.92,24.81,2.75,1.63,60.45,34.0,0
74.16,57.14,5.45,3.68,58.34,55.54,2
70.93,3.57,7.31,2.26,87.75,28.05,0
80.85,49.48,2.0,4.24,97.08,30.62,0
75.85,37.99,12.91,4.37,83.5,44.77,1
74.95,70.33,13.94,1.05,58.29,57.96,2
65.48,85.11,0.21,0.3,82.95,47.36,2
69.45,43.38,0.08,1.99,72.98,32.57,0
95.35,77.81,2.77,4.14,58.5,45.0,1
97.37,43.68,4.47,0.16,100.0,15.46,0
89.86,30.68,1.63,1.63,45.24,31.15,0
75.43,84.92,1.5,0.24,72.08,37.84,1
70.45,60.42,5.67,0.05,76.79,36.94,0
49.52,50.09,4.6,2.28,54.25,51.88,2
80.11,63.74,0.91,2.29,71.18,25.68,0
62.19,55.48,10.79,1.84,78.91,49.71,2
45.8,48.62,5.7,3.92,64.89,47.8,2
74.05,23.47,2.25,0.17,69.45,23.71,0
96.73,44.59,5.75,0.22,62.11,25.27,0
49.84,62.47,0.6,4.0,75.95,43.09,1
76.65,47.54,3.16,1.4,55.42,29.37,0
76.25,68.05,0.93,0.64,53.76,41.94,1
75.43,57.67,0.21,2.68,60.41,33.33,0
83.16,32.44,2.06,4.5,83.67,27.64,0
57.59,23.62,0.82,2.34,25.05,48.34,2
67.09,46.86,5.02,3.14,41.81,51.44,2
77.74,39.52,5.61,0.66,100.0,16.45,0
57.7,56.73,0.8,0.68,65.5,43.61,1
56.35,35.64,0.12,3.99,51.86,50.04,2
73.56,37.69,7.87,1.91,75.9,46.53,1
67.14,71.06,0.01,0.53,44.3,43.45,1
71.49,52.96,2.11,1.49,17.94,39.57,1
89.15,35.95,3.41,2.32,67.1,29.48,0
81.94,50.35,8.54,0.49,45.38,35.73,0
66.35,77.58,9.12,2.13,62.03,51.75,2
75.73,55.88,6.45,0.09,66.59,32.28,0
51.01,61.86,1.42,0.72,62.84,38.4,1
40.89,34.96,6.37,2.24,25.82,57.28,2
71.49,70.53,1.42,0.32,60.53,34.79,0
79.45,96.36,1.21,0.5,68.89,37.11,0
87.17,34.17,3.96,4.23,32.0,41.04,1
87.94,26.36,5.68,2.24,29.62,45.91,1
87.88,53.51,0.27,1.38,38.62,43.97,1
85.77,67.51,0.31,0.47,74.94,25.55,0
66.34,48.17,7.67,0.84,20.03,53.4,2
61.22,28.94,9.81,1.71,76.6,38.33,1
65.62,47.83,4.64,0.34,67.84,40.34,1
67.84,61.96,2.8,1.31,54.85,39.27,1
76.16,41.86,9.33,1.05,30.39,44.61,1
47.9,62.15,6.52,1.3,44.07,65.39,2
89.11,73.29,4.33,0.22,75.64,26.74,0
57.65,54.8,1.93,0.23,85.13,20.57,0
62.93,49.44,1.1,6.65,39.37,57.57,2
74.04,66.59,2.71,7.76,82.84,49.5,2
71.31,32.88,1.69,1.11,73.72,24.16,0
83.74,30.91,2.07,3.11,59.86,45.18,1
46.81,44.67,3.62,2.13,45.24,52.5,2
64.83,40.16,0.93,0.25,48.37,32.64,0
92.13,33.93,8.2,0.7,96.46,22.08,0
53.99,86.61,0.79,0.75,63.57,48.03,2
63.09,93.44,3.28,1.81,86.6,37.9,1
73.46,42.93,6.85,1.73,64.83,37.76,1
75.86,51.83,3.32,5.14,50.95,47.66,2
69.84,46.24,2.24,3.12,71.68,38.5,1
82.01,72.15,3.22,3.89,100.0,37.27,0
74.67,76.11,9.44,4.44,47.12,58.99,2
49.58,14.45,23.25,3.23,78.28,70.64,2
52.94,59.52,4.99,0.81,63.81,37.48,0
76.09,23.86,7.89,0.48,31.01,38.59,1
66.12,85.17,0.07,1.7,30.56,47.1,1
84.41,58.8,10.62,2.34,50.96,56.02,2
